"id","title","description","availability","condition","price","link","image_link","brand","google_product_category","fb_product_category","quantity_to_sell_on_facebook","sale_price","sale_price_effective_date","item_group_id","gender","color","size","age_group","material","pattern","shipping","shipping_weight","offer_disclaimer","offer_disclaimer_url","video[0].url","video[0].tag[0]","gtin","product_tags[0]","product_tags[1]","style[0]"
"new-york-xl","New York - XL","The city that never sleeps design Available here in XL size.","in stock","new","900.00 EGP","https://natonat.com/en/product/new-york","https://natonat.com/octopus%20photo/New%20York/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","new-york","female","Grey","XL","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","travel-icons"
"optical-illusion-s","Optical Illusion - S","Mind-bending optical art design Available here in S size.","in stock","new","850.00 EGP","https://natonat.com/en/product/optical-illusion","https://natonat.com/octopus%20photo/Optical%20Illusion/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","optical-illusion","unisex","Black & White","S","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"optical-illusion-m","Optical Illusion - M","Mind-bending optical art design Available here in M size.","in stock","new","900.00 EGP","https://natonat.com/en/product/optical-illusion","https://natonat.com/octopus%20photo/Optical%20Illusion/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","optical-illusion","unisex","Black & White","M","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"optical-illusion-l","Optical Illusion - L","Mind-bending optical art design Available here in L size.","in stock","new","950.00 EGP","https://natonat.com/en/product/optical-illusion","https://natonat.com/octopus%20photo/Optical%20Illusion/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","optical-illusion","unisex","Black & White","L","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"optical-illusion-xl","Optical Illusion - XL","Mind-bending optical art design Available here in XL size.","in stock","new","1000.00 EGP","https://natonat.com/en/product/optical-illusion","https://natonat.com/octopus%20photo/Optical%20Illusion/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","optical-illusion","unisex","Black & White","XL","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"solora-s","Solora - S","Solar-inspired radiant design Available here in S size.","in stock","new","750.00 EGP","https://natonat.com/en/product/solora","https://natonat.com/octopus%20photo/Solora/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","solora","female","Yellow","S","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","minimal"
"solora-m","Solora - M","Solar-inspired radiant design Available here in M size.","in stock","new","800.00 EGP","https://natonat.com/en/product/solora","https://natonat.com/octopus%20photo/Solora/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","solora","female","Yellow","M","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","minimal"
"solora-l","Solora - L","Solar-inspired radiant design Available here in L size.","in stock","new","850.00 EGP","https://natonat.com/en/product/solora","https://natonat.com/octopus%20photo/Solora/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","solora","female","Yellow","L","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","minimal"
"solora-xl","Solora - XL","Solar-inspired radiant design Available here in XL size.","in stock","new","900.00 EGP","https://natonat.com/en/product/solora","https://natonat.com/octopus%20photo/Solora/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","solora","female","Yellow","XL","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","minimal"
"travel-mosaic-s","Travel Mosaic - S","Colorful mosaic of travel memories Available here in S size.","in stock","new","800.00 EGP","https://natonat.com/en/product/travel-mosaic","https://natonat.com/octopus%20photo/Travel%20Mosaic/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","travel-mosaic","female","Blue","S","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","travel-icons"
